,names,nvss_id_simbad,nvss_id_morx,first_id_simbad,first_id_morx,L_nvss,L_nvss_err,L_4xmm_soft,L_4xmm_soft_err,L_4xmm_hard,L_4xmm_hard_err,nu_radio_sed,nu_fnu_radio_sed,nu_fnu_err_radio_sed
0,SDSSJ090652.79+412429.7,NVSS J090652+412429,NVSS J090652.7+412428,FIRST J090652.7+412429,FIRSTJ090652.7+412429,1.3235795872277473e+39,4.104122812249985e+37,,,,,"[2.9100e-15 2.8130e-15 2.9100e-15 2.8130e-15 8.1298e-16 7.5040e-16
 8.1298e-16 7.5040e-16 8.1298e-16 7.5040e-16] erg / (s cm2)","[2.9100e-15 2.8130e-15 2.9100e-15 2.8130e-15 8.1298e-16 7.5040e-16
 8.1298e-16 7.5040e-16 8.1298e-16 7.5040e-16] erg / (s cm2)","[4.3650e-16 4.2195e-16 4.3650e-16 4.2195e-16 4.0649e-17 2.8000e-17
 4.0649e-17 2.8000e-17 4.0649e-17 2.8000e-17] erg / (s cm2)"
1,SDSSJ090734.91+325722.9,NVSS J090734+325722,NVSS J090734.8+325722,FIRST J090734.8+325722,FIRSTJ090734.8+325722,3.9831162753992963e+39,1.2766398318587488e+38,,,,,[5.1016e-16 6.6080e-16 5.1016e-16 6.6080e-16 5.1016e-16 6.6080e-16] erg / (s cm2),[5.1016e-16 6.6080e-16 5.1016e-16 6.6080e-16 5.1016e-16 6.6080e-16] erg / (s cm2),[2.5508e-17 2.1000e-17 2.5508e-17 2.1000e-17 2.5508e-17 2.1000e-17] erg / (s cm2)
2,SDSSJ090937.44+192808.2,NVSS J090937+192807,NVSS J090937.4+192807,FIRST J090937.4+192808,FIRSTJ090937.4+192808,1.8311866805491303e+39,5.581265391172136e+37,,,,,"[8.54700e-15 7.33470e-15 4.46200e-15 4.65600e-15 4.46200e-15 4.65600e-15
 5.56335e-15 9.71600e-16] erg / (s cm2)","[8.54700e-15 7.33470e-15 4.46200e-15 4.65600e-15 4.46200e-15 4.65600e-15
 5.56335e-15 9.71600e-16] erg / (s cm2)","[9.240e-16 7.441e-16 6.693e-16 6.790e-16 6.693e-16 6.790e-16 2.853e-16
 2.940e-17] erg / (s cm2)"
3,SDSSJ091039.92+184147.6,NVSS J091039+184131,NVSS J091039.9+184147,FIRST J091039.9+184147,FIRSTJ091039.9+184147,1.4455937359912117e+39,9.397741568322526e+37,,,,,[2.4250e-15 2.2795e-15 2.4250e-15 2.2795e-15 7.0420e-16] erg / (s cm2),[2.4250e-15 2.2795e-15 2.4250e-15 2.2795e-15 7.0420e-16] erg / (s cm2),[4.36500e-16 3.41925e-16 4.36500e-16 3.41925e-16 2.24000e-17] erg / (s cm2)
4,SDSSJ093003.56+341325.3,NVSS J093003+341324,NVSS J093003.4+341324,FIRST J093003.5+341325,FIRSTJ093003.5+341325,2.0395056720765645e+39,6.819016072674243e+37,,,,,[4.2294e-16 4.6760e-16 4.2294e-16 4.6760e-16 4.2294e-16 4.6760e-16] erg / (s cm2),[4.2294e-16 4.6760e-16 4.2294e-16 4.6760e-16 4.2294e-16 4.6760e-16] erg / (s cm2),[2.1147e-17 1.5400e-17 2.1147e-17 1.5400e-17 2.1147e-17 1.5400e-17] erg / (s cm2)
5,SDSSJ093346.08+100909.0,NVSS J093346+100909,NVSS J093346.1+100909,FIRST J093346.1+100908,FIRSTJ093346.1+100908,2.1949416166696093e+38,6.604249297347448e+36,1.5026165173110748e+40,5.500210761411505e+38,1.5567963340815855e+40,1.801770467120172e+39,"[9.5190e-15 1.1000e-14 4.4000e-15 3.5405e-15 3.3950e-15 3.5405e-15
 3.3950e-15 3.1801e-15 2.6656e-15 7.8400e-16 7.8400e-16 8.2040e-16] erg / (s cm2)","[9.5190e-15 1.1000e-14 4.4000e-15 3.5405e-15 3.3950e-15 3.5405e-15
 3.3950e-15 3.1801e-15 2.6656e-15 7.8400e-16 7.8400e-16 8.2040e-16] erg / (s cm2)","[9.5190e-16 1.1500e-15 9.0000e-16 5.8200e-16 5.0925e-16 5.8200e-16
 5.0925e-16 5.3900e-16 1.1900e-16 2.8000e-17 2.8000e-17 3.0800e-17] erg / (s cm2)"
6,SDSSJ093938.62+385358.6,NVSS J093939+385357,,FIRST J093938.6+385358,FIRSTJ093938.6+385358,4.375996920683786e+38,3.646664100569822e+37,,,,,[8.218e-17 8.820e-17 8.218e-17 8.820e-17 8.218e-17 8.820e-17] erg / (s cm2),[8.218e-17 8.820e-17 8.218e-17 8.820e-17 8.218e-17 8.820e-17] erg / (s cm2),[4.109e-18 7.000e-18 4.109e-18 7.000e-18 4.109e-18 7.000e-18] erg / (s cm2)
7,SDSSJ094319.15+361452.1,NVSS J094319+361452,NVSS J094319.1+361452,FIRST J094319.1+361452,FIRSTJ094319.1+361452,1.2731349850369058e+39,3.9042805398361017e+37,,,,,"[2.92500e-14 2.88000e-14 2.92500e-14 2.88000e-14 4.02550e-15 4.17100e-15
 4.02550e-15 4.17100e-15 1.05560e-15 1.02312e-15 1.05560e-15 1.02312e-15
 1.05560e-15 1.02312e-15] erg / (s cm2)","[2.92500e-14 2.88000e-14 2.92500e-14 2.88000e-14 4.02550e-15 4.17100e-15
 4.02550e-15 4.17100e-15 1.05560e-15 1.02312e-15 1.05560e-15 1.02312e-15
 1.05560e-15 1.02312e-15] erg / (s cm2)","[1.50000e-16 1.50000e-16 1.50000e-16 1.50000e-16 6.03825e-16 5.82000e-16
 6.03825e-16 5.82000e-16 3.22000e-17 5.11560e-17 3.22000e-17 5.11560e-17
 3.22000e-17 5.11560e-17] erg / (s cm2)"
8,SDSSJ103719.33+433515.3,NVSS J103719+433515,NVSS J103719.3+433515,FIRST J103719.3+433515,FIRSTJ103719.3+433515,2.744199259884418e+39,8.315755332983086e+37,,,,,"[1.04853e-15 3.63750e-15 3.49200e-15 3.63750e-15 3.49200e-15 4.11255e-16
 1.19448e-15 1.85500e-15 8.16000e-16 8.43150e-16 3.47300e-16] erg / (s cm2)","[1.04853e-15 3.63750e-15 3.49200e-15 3.63750e-15 3.49200e-15 4.11255e-16
 1.19448e-15 1.85500e-15 8.16000e-16 8.43150e-16 3.47300e-16] erg / (s cm2)","[4.993e-18 4.850e-16 5.238e-16 4.850e-16 5.238e-16 3.330e-18 4.977e-18
 5.600e-17 8.160e-17 6.570e-17 7.550e-17] erg / (s cm2)"
9,SDSSJ105731.16+405646.1,NVSS J105731+405646,NVSS J105731.1+405646,FIRST J105731.1+405646,FIRSTJ105731.1+405646,9.588499806861546e+38,3.009842937443613e+37,,,,,"[7.38076e-16 1.40650e-15 1.40650e-15 1.40650e-15 1.40650e-15 2.63500e-16
 6.31400e-16 6.33500e-16 6.31400e-16 6.33500e-16 6.10400e-16 6.31400e-16
 6.33500e-16 1.13750e-16] erg / (s cm2)","[7.38076e-16 1.40650e-15 1.40650e-15 1.40650e-15 1.40650e-15 2.63500e-16
 6.31400e-16 6.33500e-16 6.31400e-16 6.33500e-16 6.10400e-16 6.31400e-16
 6.33500e-16 1.13750e-16] erg / (s cm2)","[4.98700e-18 2.10975e-16 2.91000e-16 2.10975e-16 2.91000e-16 3.40000e-17
 1.96000e-17 3.16750e-17 1.96000e-17 3.16750e-17 1.96000e-17 1.96000e-17
 3.16750e-17 9.75000e-18] erg / (s cm2)"
